Gene;CommonName;Nit;Glu;Eth;Ana
YGR180C;RNR4;423.2723751;533.6294301;326.4534949;625.03513
YGR181W;TIM13;101.4677796;76.27991249;73.52797792;91.7314148
YGR182C;YGR182C;289.745747;221.8725694;253.3348987;214.6387357
YGR183C;QCR9;461.692269;316.7443527;340.7626212;297.7221936
YGR184C;UBR1;101.3450021;57.76278831;61.29238239;59.84902365
YGR185C;TYS1;124.0781787;102.5375796;86.26185304;125.8423801
YGR186W;TFG1;98.30141575;54.71157862;54.74483537;62.0166397
YGR187C;HGH1;23.86386149;26.56562214;13.71542596;25.10229853
YGR188C;BUB1;12.015461;8.712330559;7.245072153;7.650214095
YGR189C;CRH1;192.9332228;149.8253511;138.789038;230.1701565
YGR190C;YGR190C;83.8335869;45.79537511;47.1762329;98.38530169
YGR191W;HIP1;65.19675611;36.40048786;32.67642332;71.27682568
YGR192C;TDH3;5245.783915;5266.008209;2044.095614;5412.990288
YGR193C;PDX1;63.25331779;53.34301109;51.86808214;62.38060389
YGR194C;XKS1;38.5597142;28.92597755;32.6885249;35.53274217
YGR195W;SKI6;30.29839553;26.77861397;18.4847974;39.69774281
YGR196C;FYV8;31.52569362;23.44069728;20.0080473;27.19437863
YGR197C;SNG1;19.21890279;21.52583422;25.15374535;23.95375552
YGR198W;YPP1;25.83632766;21.94901482;17.35732358;41.67837689
YGR199W;PMT6;33.37376111;24.01861176;27.08490089;27.89584177
YGR200C;ELP2;35.37662958;29.93375435;25.29539044;39.07612687
YGR201C;YGR201C;17.17062472;106.1760247;31.31204944;24.39387865
YGR202C;PCT1;96.65665913;47.58327467;43.33682983;64.71853992
YGR203W;YCH1;47.59941075;58.70834325;42.79537275;59.93125347
YGR204C-A;YGR204C-A;36.87133717;59.94634824;56.86903851;67.28959223
YGR204W;ADE3;360.3308581;150.7191383;145.5154943;384.9289105
YGR205W;TDA10;48.65444322;79.81507262;71.37665064;84.91185191
YGR206W;MVB12;65.72317148;44.89938644;41.53579784;59.69864513
YGR207C;CIR1;122.1785358;84.28784789;80.67401226;148.683628
YGR208W;SER2;47.37184239;38.87078939;15.32524789;67.29355471
YGR209C;TRX2;317.930699;273.1990694;178.4038695;200.5239847
YGR210C;YGR210C;67.38247377;32.9961506;24.51097492;42.1015687
